hh:mm;Elevation angle;Azimuth angle
00:00;-9.25;326.36
00:15;-10.13;329.96
00:30;-10.92;333.59
00:45;-11.61;337.24
01:00;-12.2;340.93
01:15;-12.69;344.63
01:30;-13.07;348.36
01:45;-13.35;352.1
02:00;-13.53;355.85
02:15;-13.59;359.61
02:30;-13.54;3.37
02:45;-13.39;7.12
03:00;-13.12;10.86
03:15;-12.75;14.59
03:30;-12.28;18.3
03:45;-11.7;21.99
04:00;-11.02;25.65
04:15;-10.25;29.28
04:30;-9.38;32.88
04:45;-8.43;36.45
05:00;-7.39;39.98
05:15;-6.27;43.49
05:30;-5.04;46.96
05:45;-3.62;50.39
06:00;-1.9;53.8
06:15;-0.39;57.19
06:30;0.85;60.54
06:45;2.2;63.88
07:00;3.64;67.2
07:15;5.16;70.51
07:30;6.73;73.81
07:45;8.33;77.11
08:00;9.96;80.41
08:15;11.61;83.72
08:30;13.28;87.05
08:45;14.95;90.39
09:00;16.62;93.76
09:15;18.29;97.17
09:30;19.94;100.61
09:45;21.58;104.1
10:00;23.19;107.64
10:15;24.77;111.24
10:30;26.31;114.91
10:45;27.81;118.65
11:00;29.25;122.47
11:15;30.64;126.36
11:30;31.96;130.35
11:45;33.2;134.42
12:00;34.35;138.59
12:15;35.41;142.85
12:30;36.38;147.2
12:45;37.23;151.63
13:00;37.97;156.14
13:15;38.59;160.73
13:30;39.08;165.37
13:45;39.44;170.06
14:00;39.67;174.79
14:15;39.76;179.53
14:30;39.7;184.28
14:45;39.51;189.01
15:00;39.19;193.72
15:15;38.73;198.37
15:30;38.14;202.97
15:45;37.43;207.5
16:00;36.6;211.95
16:15;35.66;216.32
16:30;34.62;220.6
16:45;33.49;224.79
17:00;32.27;228.89
17:15;30.98;232.9
17:30;29.61;236.82
17:45;28.18;240.65
18:00;26.7;244.41
18:15;25.17;248.09
18:30;23.61;251.71
18:45;22;255.27
19:00;20.38;258.77
19:15;18.73;262.23
19:30;17.07;265.64
19:45;15.41;269.02
20:00;13.74;272.37
20:15;12.08;275.7
20:30;10.43;279.01
20:45;8.8;282.32
21:00;7.2;285.62
21:15;5.63;288.92
21:30;4.11;292.23
21:45;2.65;295.55
22:00;1.28;298.88
22:15;0.03;302.24
22:30;-1.31;305.61
22:45;-3.03;309.02
23:00;-4.53;312.45
23:15;-5.8;315.91
23:30;-6.94;319.4
23:45;-7.99;322.93
00:00;-8.95;326.48
;;
